Draw Date,1,2,3,4,5,Mega Ball,Megaplier
"Tue, Sep 13, 2016",6,17,39,15,56,15,3X
"Fri, Sep 09, 2016",43,1,34,63,44,11,4X
"Tue, Sep 06, 2016",37,69,58,75,25,8,3X
"Fri, Sep 02, 2016",28,41,22,60,46,3,3X
"Tue, Aug 30, 2016",32,51,71,41,28,11,4X
"Fri, Aug 26, 2016",41,44,31,11,10,14,2X
"Tue, Aug 23, 2016",61,7,46,2,66,1,2X
"Fri, Aug 19, 2016",73,65,22,37,45,13,5X
"Tue, Aug 16, 2016",43,2,62,63,52,6,5X
"Fri, Aug 12, 2016",41,56,4,44,69,10,4X
"Tue, Aug 09, 2016",12,20,66,44,19,1,5X
"Fri, Aug 05, 2016",5,54,28,18,74,6,4X
"Tue, Aug 02, 2016",12,70,36,3,54,12,5X
"Fri, Jul 29, 2016",31,19,11,16,48,4,5X
"Tue, Jul 26, 2016",4,36,1,54,31,9,3X
"Fri, Jul 22, 2016",8,24,25,26,30,7,4X
"Tue, Jul 19, 2016",65,34,54,66,3,4,5X
"Fri, Jul 15, 2016",58,51,16,52,56,4,2X
"Tue, Jul 12, 2016",22,8,6,46,68,4,4X
"Fri, Jul 08, 2016",20,19,55,73,8,5,2X
"Tue, Jul 05, 2016",29,64,46,53,73,10,5X
"Fri, Jul 01, 2016",49,45,20,42,41,14,2X
"Tue, Jun 28, 2016",55,17,15,20,35,7,2X
"Fri, Jun 24, 2016",54,57,63,14,11,11,5X
"Tue, Jun 21, 2016",49,50,13,6,21,10,5X
"Fri, Jun 17, 2016",59,20,23,30,44,9,5X
"Tue, Jun 14, 2016",37,52,36,38,62,6,5X
"Fri, Jun 10, 2016",34,66,67,68,61,7,5X
"Tue, Jun 07, 2016",72,65,51,25,48,4,4X
"Fri, Jun 03, 2016",32,71,54,66,65,10,3X
"Tue, May 31, 2016",9,41,49,31,34,8,5X
"Fri, May 27, 2016",41,50,70,18,68,9,3X
"Tue, May 24, 2016",70,50,11,51,75,15,4X
"Fri, May 20, 2016",26,24,19,68,40,8,2X
"Tue, May 17, 2016",48,27,75,17,24,6,3X
"Fri, May 13, 2016",66,20,54,38,21,7,4X
"Tue, May 10, 2016",56,74,22,46,12,4,3X
"Fri, May 06, 2016",32,26,14,27,36,7,4X
"Tue, May 03, 2016",28,36,45,33,29,15,5X
"Fri, Apr 29, 2016",5,37,74,6,55,10,5X
"Tue, Apr 26, 2016",16,14,48,17,28,2,2X
